"","Not_Enrolled","Enrolled_Interested","SourceTypeValue"
"#Digital",4,2,0.333333333333333
"WebAPI",4,1,0.2
"#Walkin",297,37,0.110778443113772
"Not Known",20,2,0.0909090909090909
"Studying",1858,139,0.0696044066099149
"Unemployed",5689,392,0.0644630817299786
"#Others",225,15,0.0625
"Influencer",33,2,0.0571428571428571
"#House Visit",166,9,0.0514285714285714
"Working",1004,51,0.0483412322274882
"#Telephonic",53,2,0.0363636363636364
"Telephonic Missed Call",162,4,0.0240963855421687
"#Referral",110,2,0.0178571428571429
"#Smart Call API",11,0,0
"#WebAPI",1,0,0
"Telephonic Quick Add",2,0,0
